Tweet Text,# number,Medical relevance,X,Does X prevent cancer 
Cancer Metastasis Hobbled by New Compound: Researchers at Northwestern University Chicago and Oregon Health &amp;amp; Science University OHSU in Portland have developed a smallmolecule drug that can stop the movement of cancer cells and so prevent their… https://t.co/6quCeHr6UU,3,yes,smallmolecule drug,yes
"Cancer’s like an engine breaking down. We know everything there is to know about engines, we know what damages them, what keeps them running, etc. But it’s almost impossible to permanently prevent them from breaking down, because accidents (i.e. cancerous mutations) always happen https://t.co/YiSuXvPNBV",3,no,,
"Cervical cancer kills 260,000 women annually, and nearly 85% of these deaths occur in developing nations, where it is the leading cause of cancer deaths in women. Human papillomavirus (HPV) vaccination helps prevent infection from the HPV types that cause most cervical cancers. https://t.co/KCf8hw7PNq 260,000 #CervicalCancer deaths⚰️ are preventable.  Saying yes to #hpv vaccination means putting a stop 🚫 to mortality rates evidenced among our sisters🚺, mothers, wives👰  Because THEIR LIVES MATTER‼️  #CancerAwareness https://t.co/IjoZTVoA9H",3,yes,Human papillomavirus (HPV) vaccination,yes
"Did you know melanoma is the most dangerous form of skin cancer, and that it can form between your toes and even in your eyes? Learn more about melanoma and skin cancer, how to identify it and what you can do to help prevent it in this video. https://t.co/K1bHN5QVIJ",3,no,,
"Do you know that regular screening through VIA, Pap &amp; HPV tests are ideal prevention strategy against cervical cancer. Cervical cancer is known to be one of the most preventable cancers and the second most common cancer in women, why not have a test in order to prevent it.",3,yes,"regular screening through VIA,HPV tests
",yes
"Does anyone have any ideas about how to help prevent almost sun burnt feet while taking a chemo-pill for cancer? My mom is really suffering. Please retweet if you think it might help. She's tried bag balm, comfy socks, and lotion, but it isn't helping. She now has open sores.",3,no,,
"Does the Mediterranean diet prevent heart disease? A big study found it did. Now the investigators concede it was flawed. https://t.co/Jaf8IkyriL When patients ask us about diets to treat #cancer, we mention the absence of randomised clinical trial data to guide us. Clinical trials on #diet and health outcomes are hard to conduct, human behaviour always intervenes... #PREDIMED @dr_ailsa https://t.co/5qx0CBDoon",3,no,,
"Dr. Graybill, CHN radiation oncologist, stopped by WTHR today to share an important Father’s Day reminder for all guys about the importance of screenings to prevent and detect cancer early.  Come on fellas, schedule that appt with your family doctor today! https://t.co/p5kxnaY6ky",3,yes,screenings,yes
"Eradication and control.  Statistics and medical evidence changed to prevent mass panic.  Water supply problems inside the bases.  Reports about cancer and flesh eating bugs in the water. https://t.co/sArG4Jtrr5 Leaked Navy Memo Reveals Plan For ""Temporary, Austere"" Migrant Camps- plans to construct sprawling detention centers for tens of thousands of immigrants on remote bases in California, Alabama and Arizona https://t.co/gleq4K6gCl",3,no,,
"Fancy a vaccination being able to prevent a nasty head and neck cancer! Let's vaccinate our youngsters against HPV related cancers. #WHNCDay, #headandneckcancer, #HPVvaccine https://t.co/ewx9CviXiE",3,yes,vaccination,yes
"Have you seen our updated #cancerprevention recommendations? Based on the latest scientific research about how to prevent cancer, our advice is practical and simple to understand. https://t.co/NOFGHcZDKW https://t.co/vYQRQSsySQ",3,no,,
Here's a really fantastic article from @nutrition_facts on how and why a plant-based diet can help prevent lung cancer. (Know anyone with asthma or COPD?). Delicious recipes also included. https://t.co/qUFPWOjoMY,3,yes,plant-based diet,yes
"Honey is a natural food and it is having many health benefits include Prevent cancer,heart disease,Reduce ulcers,increase athletic performance and many more. You can get best honey on https://t.co/FbqHZZdHPv #honey  @goodhealth",3,yes,honey,yes
"How incredibly depressing. Local public health services, which help keep people well, and prevent cancer and other expensive, devastating health conditions, are having their funding cut to unsustainable levels  https://t.co/10IEAObKNs",3,no,,
"HPV causes cancers. Treatment of HPV Head&amp;Neck cancers is brutal with lifelong effects. Don't let your young suffer. HPV vaccination will prevent this.@HeadNeckNZ #VaccinesWork #HPV https://t.co/C5zDbBMMQP Even in countries where the HPV vac is free, the uptake is not 100% so let's encourage this safe and effective cancer prevention. https://t.co/hOX5jrMxXu",3,yes,HPV vaccination,yes
"I missed eating soursops and custard apples da most. And, mangoes, good golly, Ms. Molly! I used to sit under da tree and eat till mi belly full. All three fruits help to prevent cancer. https://t.co/qT3RpUweIP",3,yes,"soursops,custard apples,mangoes",yes
If you show these symptoms DEMAND a M spike and light chain test from your doctor(GP)!  It could save your life or prevent end organ damage! https://t.co/JGJksbWJ3n,3,no,,
"It is already difficult enough for low-income people to receive abortion care, but the Trump administration is trying to prevent them from receiving STD tests, cancer screenings, and birth control. #TitleX #NoGagRule https://t.co/kmuxTLxhg0",3,no,,
"It is amazing to see what my first graders are passionate about through their passion projects. Some chose to research how to become teachers, how to make ballet costumes, and even foods that can help prevent cancer! @SalemESVB https://t.co/ZD8PMzekXX",3,yes,foods,yes
"Let's hear it for the unsung #NHS70 heroes - not just the doctors and nurses, but everyone else who makes this great institution run. People like my mother-in-law, who scans your smear tests to detect, and hopefully prevent or catch early, cervical cancer. #NHSScot70",3,no,,
"Melton's Mayor, Councillor Pru Chandler, will be meeting charity cycling duo Chris and Gabs tomorrow at 1pm in the town centre. Come and show your support for this fantastic pair who are cycling 100,000km for Prevent Breast Cancer @worldcycling2 https://t.co/IEu1opwFpG",3,yes,cycling,yes
"next is sunscreen which is more impt than you think, it helps w preventing skin cancer, helps w acne, and helps prevent your hyperpigmentation from darkening so if you’re not using sunscreen daily do so now; i like these bc they layer well under makeup and aren’t greasy https://t.co/ekPKlCrhgz",3,yes,sunscreen,yes
"No, we do not want the government to be reorganized like a business, the idea is obviously outlandish: business exists to concentrate wealth and power for the benefit of a few, government exists to prevent unaccountable private power from ravaging society like a metastatic cancer",3,no,,
Not surprising and important prescription for #cancersurvivor to use #exercise to prevent or mitigate ca treatment related cardiac tox #MASCC18 @NRGonc https://t.co/wLoYv9lSBu,3,yes,exercise,yes
"Obama’s legacy corrupted large segments of our federal government! Cut out the cancer, institute checks and balance’s to prevent corruption in the future and drive on. https://t.co/zViJIhhxsy @Exlawdawg1 @Steve_Pippin @JDugudichi @Really_FUBAR @PFerrari10 @CONNORFORTRUMP @PaulaLanier54 @ShowboatBob @Burt_MO @Education4Libs @pjbowles4 @rmcmartino1 @Redneck45gal @wwwillstand I agree with U Exlawdawg it is time to flush the toilet. Every decent American should call their representatives &amp; demand to clean up the DOJ &amp; FBI before they completely destroys this nation .",3,no,,
"Our #cycling trailer is all ready to roll! This weekend, we're carrying the geat to help @Lesscancer and #SplittheMitt keep moving on a 238 ride to prevent cancer: https://t.co/Khn91tL5tx #updotbike #cancer #raiseyourgear #fundraiser #michigan https://t.co/eRWFABybCx",3,yes,cycling,yes
"Our research proves that current rates of detection for #BRCA mutation could be vastly improved and this will save women’s lives &amp; prevent cases of #breast &amp; #ovarian #cancer Please read, share, follow &amp; support #medicalresearch https://t.co/KNVpDywMYm https://t.co/OFqOlzqQii",3,yes,BRCA mutation,yes
"People talk about pain and how to treat it but there's no fix for discomfort. Cut nerves, difficulty swallowing, drooling, misaligned teeth, stoma issues, thrush, dry mouth and uncomfortable dentures. Catch head and neck cancer early or better still prevent it. #cancer,  #HNCSM",3,no,,
Prevent relapse with an early diagnosis - Bioresonance and Relapsing Breast Carcinoma | bicomUK https://t.co/W0pcOm4Vpi #bioresonance #bicomUK #carcinoma #cancer #breastcarcinoma #earlydiagnosis #preventrelapse #noninvasive #beatcancer https://t.co/FwEQQlVKXZ,3,no,,
Read about the findings of a new Cancer Research UK-funded clinical trial which looks at taking heartburn drugs in conjunction with aspirin to help prevent oesophageal cancer in patients at high risk.   https://t.co/5DukKkOwdj,3,yes,heartburn drugs in conjunction with aspirin,yes
"RT @543pul: Coconut Water #Kefir Can Help Heal The #Gut, Improve #Immune Function And Prevent #Cancer… https://t.co/ptX6y70nW2 https://t.co…",3,yes,coconut water,yes
"RT @HealthFoodPage: Blueberries- Antioxidants helps to prevent illnesses such as heart disease, cancer, and eye disorders.",3,yes,antioxidants,yes
"RT @naijagym: Blueberries- Antioxidants helps to prevent illnesses such as heart disease, cancer, and eye disorders.",3,yes,"blueberries,antioxidants",yes
"Scientists find telltale genetic markers that can be used to predict those most at risk of prostate cancer, powerful knowledge likely to prove useful to detect and prevent the disease. https://t.co/LtmYXX3Age   #ProstateCancer #Cancer @USC",3,no,,
"Second illustration done for the summer game done quick (SGDQ), a caritative marathon in wich people finish game as fast as possible. It will last seven days and all benefits will be given to the prevent cancer fondation.  #sgdq #sgdq2018 #summergamedonequick #gamedonequick … https://t.co/w8Aut9muGG",3,no,,
"Side effects can be treated effectively!!  But cancer cell on continous division , needs a control , rest t would metastate (spread) to adjacent areas and worsen condition!!  So early diagnosis by reporting in stage1 can b best measure to prevent this complications! https://t.co/V28nwx7yR8 @GudduKumarm2272 @doctorkini Chemotherapy actually destroys cancer cells which tend to divide and grow, the worrying part is it's side effects.",3,yes,early diagnosis,yes
"Smear tests usually take just 5 minutes to carry out and can identify changes to your cervix at an early stage, helping to prevent you from developing cancer. #SmearTestsSaveLives https://t.co/zFsuqZWr3g https://t.co/txvX6f7aUJ",3,yes,smear test,yes
Snail is high in selenium which are important minerals and nutrients that fights diseases such as cancer and heart disease. It is also powerful antioxidants that help to prevent the aging and hardening of tissues through oxidation.,3,yes,selenium,yes
"Take the time to check their FB page and learn about the signs, symptoms, and ways to prevent this form of cancer. You're worth it! #cancer #endcancer #esophagealcancer #StandUpToCancer #fightcancer https://t.co/xrXO8TOuVe Want more conversation than the now 280 characters at Twitter? Join us on Facebook: https://t.co/GK6HvGPxAa  #EsophagealCancer #EsophagealCancerAwareness #AllPeriwinkleEverything™",3,no,,
Testing for HPV in young boys and men can prevent other health issues later in life like cancer. Use our Adolescent Vaccines &amp; #HPV starter guide to help https://t.co/GBZ9ypMpx1 #MensHealthMonth https://t.co/Kx1KJxU0W1,3,yes,testing for HPV,yes
"Thank you @MDAndersonNews for supporting Vivian and Stage 4 Carcinoid Cancer. Plz read my miracle in my book Living With the Silent Enemy coming soon. Plz support M. D. Anderson to End Cancer. It Takes Lives to Save Lives. https://t.co/V5TswqppCJ #DYK every 20 minutes someone is diagnosed with a cancer caused by HPV? Fortunately, we can now prevent these cancers with the HPV vaccine. #CancerMoonshot #endcancer https://t.co/3EO7hewGr1",3,yes,HPV vaccine,yes
"THANK YOU SO MUCH to Team Mini Sport, who battled the rain and fog during the Yorkshire 3 Peaks this weekend.   The team absolutely smashed the challenge, and have raised an amazing £960 for Prevent Breast Cancer! https://t.co/URSwr3sgE0",3,no,,
"Thanks to @dslevine for hosting this great discussion about ways we are working to solve the issue of ciaplatin-induced hearing loss in cancer patients undergoing this type of chemotherapy. https://t.co/VcWDg3qirA Nawal Ouzren @SensorionPharma, on hearing loss in children receiving chemotherapy, why some may dismiss it as an unfortunate price to pay for a life-saving treatment, and how Sensorion’s experimental drug may help prevent these children from going deaf. https://t.co/46t3nGyybX",3,yes,chemotherapy,yes
The #HPVVax is cancer prevention! Be sure your child receives both doses of the HPV vaccine starting at ages 11 or 12. https://t.co/nkbmJHsbmv Who wants a Head&amp;Neck cancer. Robs you of all that makes you a social being. Ability to eat and drink and communicate. Prevent this with HPV vaccine.  @HeadNeckNZ #HPV   #whncd2018 https://t.co/sGklVYKl1j,3,yes,HPV vaccine,yes
The admin touted #RightToTry as providing access to experimental drugs while deciding to not prevent insurance discrimination against those with #Preexistingconditions.  https://t.co/she5N3TWzj So #Trumpcare is pay cash for unapproved drugs and kick cancer patients off insurance?,3,no,,
"The answer is YES!  HPV vaccines help prevent HPV 16 and 18 which are the two types of viruses that are strongly associated with 70% of all cervical cancer cases worldwide. To find out more information, check here https://t.co/TNcfNpgfcI @theNCI #ScreenHER",3,yes,HPV vaccine,yes
"The co-founder of @Data_for_Good and #AI Leader of the Year @VictorFAnjos shows that data has the power to feed the hungry, fight cancer, and help prevent genocide https://t.co/iPIt3rCYel #data",3,no,,
"The Firefighter Cancer Registry Act, a bill I authored addressing the detrimental health effects firefighters may experience due to smoke inhalation and other harmful substances, is heading to @POTUS desk - https://t.co/9spbMx8Pnu Thank you @RepChrisCollins for this important legislation! It will help #researchers get to the root of #cancers affecting #firefighters &amp; #firstresponders and ultimately help prevent them. @DrJFriedberg https://t.co/xVtCGTelau",3,no,,
"The leading causes of death in the United States:  Abortion  Heart Disease  Cancer Respiratory Disease  Car Accidents Stroke Alzheimer’s  Diabetes Influenza and Pneumonia Kidney Disease   ...Notice that guns are not on that list  🤔 wow if only there were some sort of service provided by the state, free at the point of use from the cradle to the grave, that could reduce or prevent most of these things... https://t.co/HPgz18EnHP",3,no,,
"There are many people w/pre-existing conditions and they will face the same faith if pre-existing condition is removed from ACA. Some of #MAGA may be healthy now and don’t care, but some of them will be affected by it because illness doesn’t discriminate. https://t.co/RNDUaMCKUC My wife has stage 4 metastatic breast cancer. We are on COBRA due to her company shuttering. When COBRA runs out 8/19 her preexisting condition will prevent coverage. DOJ policy change may very well kill my wife. Vote them out",3,no,,
This is a cool paper- nice systematic evaluation of how patient mutations affect the p53 function (for general reader: p53 gene helps prevent cancer. this is why it is found mutated in something like half of all cancers- mutations are key event in allowing the cancer to form) https://t.co/HjwMjYaRQi Our new paper is out! Systematic characterization of the functional effects of thousands of p53 mutations in vitro and in vivo. https://t.co/pTIvq0CF0L https://t.co/9cJirfY5BI,3,yes,p53 gene,yes
This Small Fruit is a Real Treasure: Can Cure Prostate Cancer and Prevent Stomach and Colon Cancer! – HealthTipsCentral https://t.co/5raIhxwMJx #health #healthtips #healthadvice #healthy #Nutrition #FitFood #fitness #vegan #exercise #workout #diet #motivation,3,yes,small fruit,yes
"Today is the day!! Chris and Gab set off on their world cycling tour to raise awareness and funding for Prevent Breast Cancer. We welcome you to join us to wave off our heroic cyclists! Nightingale Centre, at 11.30. #PreventBreastCancer #breastcancerawareness #worldcyclingtour https://t.co/Ix9CAeuhS3",3,no,,
Treating your #cancer without harming your heart -- cardiotoxicity is a concern. See what NCI is doing to understand and to prevent this dangerous side effect. of cancer treatments. https://t.co/Cw3vR9JfDU https://t.co/xgVFHPDSsV,3,no,,
"Understanding Skin Cancer and How to Prevent It, from Kelly B. Cha, M.D., Ph.D., a Michigan Medicine dermatologist and skin cancer expert: https://t.co/c12MdiPFti https://t.co/ZJ3jeNKiXc",3,no,,
"Vit D deficiency linked to increased risk of breast cancer. Could this be one of the reasons of breast cancer peak incidence in 40s for Pakistani women, as vit D deficiency is widespread in Pakistan?  https://t.co/08GvVW1Rdr Vitamin d is very important for us and a lot of South Asians stop children from playing in the sun in order to prevent them getting dark.. sun exposure is necessary for vitamin D production.. ( of course apply sun protection cream too) https://t.co/ZqnkjCgaOc",3,no,,
"Want to prevent varicose veins and wrinkles?Vitamin K2 is absolutely crucial for young, healthy skin, hair and gums. It’s crucial for kidney health,preventing cancer, managing fertility &amp; acts as a brain anti-oxidant. If you're not convinced, start again. https://t.co/Q4DKlqpqsm https://t.co/auqVvVsUD5",3,yes,vitamin K2,yes
We believe that empowering young people with #Cancer knowledge will help inform their decision making and lifestyle in regards to cancer fight in Uganda and region!! #3C #3ChildrenCaingaboutCancer #UgandaChildCancerFoundation https://t.co/8D5JGpByv8 Uganda Cancer Institute and Childcare for Cancer Foundation start a drive to equip students across the country with knowledge to prevent and fight cancer. This and more on #NTVATONE coming up https://t.co/fuMIKJLkAI,3,no,,
"‘The real battle to preserve democracy and the rule of law, especially after the rise of Imperialism in the 1880s, was never a battle for absolute (liberal) values. It was a holding operation to prevent the Imperial cancer from spreading into metropolitan core’.",2,no,none,none
"“Mali siya, pero wag na tayong makialam...para walang gulo”  What will be more loving than to point out something wrong to a person even if it will cost your reputation and convenience.   A doctor that says nothing about the patience’s cancer to prevent trouble is very unloving.",2,no,none,none
@_chris_norris @NHSEngland @MarrShow @AndrewMarr9 @bowelcancer @Bowel_Cancer_UK It highlights the challenge that remains to change perceptions and drive awareness of and action to prevent or detect bowel cancer early.   We will get there.  We must if we are to stop 16000 needless deaths a year.,2,no,none,none
"@0xcharlie @matthew_d_green To prevent yourself from getting eye cancer, gash out your eyes with a fork. It's not ideal, but at least it's cheap and effective.",2,no,none,none
"@BlueLionBlog @carlsmythe @amanda_pompili @erikwilson1975 @Vbalance03 @Rosewind2007 @doritmi @Plasticdoe @Microbedoc2 @StopVaxxedLies @Siubhan_H @BeckyJohnson222 @jpsportsminer @DansMonkeyShack @cantab_biker @GretchenScience @chrisvcsefalvay @EmmaGPaley @xanthonejohn @ChrisJohnsonMD @TinFoilAwards @kidoctr @Brian_Kitchener @SueQuez @RoyWilliams1024 @EbolaJuggler @djt10 @PharmaNemesis @sarah_sxlxp @openmitochondro @ShooguhLipz @1002Loola @regina1775 @and_McDowell @anoticingsenpa1 @badzoot7 @DavidOugh1 @biker_bowen83 @what_if_007 @DarkestAngeL31 @janem1276 @mobilematt @LHMI2016org @skepticalraptor @katieicunurse @science_guy5 @Cattlechildren @c0nc0rdance @WomanMDsGuide @RyanMarino If you don't,  then again, the test has not prevented the cancer. Not having cancer is not the same as having prevented it. If you do, then clearly neither test has prevented it. And if the further test confirms cancer, the Pap obviously didn't prevent it.",2,no,none,none
"@caroler42 @CaseyBurn1 @LauraButler6 @JaneagainstTru1 @dawnlaguens PP funds many, many other services, both for men and women.  When govt cuts funding, it has zero impact on abortion, but cuts cancer screenings, contraception prescriptions (which prevent abortions), PAP smears, mammograms, etc.",2,no,none,none
@DeplorableMe77 @QuantumTransfer @realDonaldTrump This cancer is a treatable disease if treated soon enough. Doctors everywhere are recommending high-level doses of #WalkAway therapy to help reduce tumor size and prevent metastasizing.,2,no,none,none
"@amvetsupport @flitedocnm My dad died of cancer directly caused by occupational exposure to trichloroethaline. Among other goals, the EPA was literally created to prevent dads (and moms and kids) from dying.",2,no,none,none
"@kengumbo @CNBC Alkaline, antioxidant water will help prevent cancer from growing in your body. Cancer needs oxidants and an acidic environment to grow",2,yes,"alkaline water, antioxidant water",yes
How to Alkalize Your Acid Body Fast to Prevent Cancer and Other Diseases https://t.co/WPQPuMGZTB,2,yes,alkalize one's acid body,yes
HELP US SAVE LIVES . https://t.co/GhLVu5Kqm3   our students entry to the  @IrishCancerSoc XHALE video competition..Please VIEW on YOUTUBE and SHARE the LINK. Aim is to highlight the dangers of smoking to young people and help prevent cancer.. please Retweet @TobaccoFreeKids,2,yes,avoid smoking,yes
@___ANN3___ Amazing health benefits of capsicum: -Treats Anemia. Our bone marrow needs iron to make RBCs to prevent the body from iron deficiency. -Improves Your Eyesight. -Hair Growth. -Improves Immunity. -Skin Care. -Reduce Inflammation and Swelling. -Maintain Heart Health -Combat Cancer.,2,yes,capsicum,yes
herbs and spices will prevent cancer #Ginger #Oregano #Garlic #Cayenne pepper #Black pepper #Turmeric #Healthcare #2018 #conference #November 12-14 #Istanbul #Turkey https://t.co/1GeKA1rELo,2,yes,"herbs, spices, ginger, oregano, garlic, cayenne pepper, black pepper, turmeric",yes
“Hyaluronan stimulates #Pancreatic Ductal Adenocarcinoma cell migration and thus represents an ideal therapeutic target to prevent invasion and metastasis” https://t.co/NXroY2ZLr7 $HALO PegpH20 is targeted Hyaluronan therapy. $MRK $BMY $RHHBY,2,yes,hyaluronan,yes
"“nearly half of the established human carcinogens’ listed in Doll and Peto’s seminal report on the avoidable causes of cancer were occupational in nature.”   Now that we know about these carcinogens, let’s prevent workplace exposures. It’s never too late! #OHSMatters #occhealth https://t.co/5Kl7li9czR New publication summarizes @IARCWHO known occupational #carcinogens with info on #cancer type, exposure scenarios, and routes: https://t.co/ZUIvwPpeE5 #occhealth",2,yes,none,none
"Hemp Could Free Us From Oil, Prevent Deforestation, Cure Cancer and It's Environmentally Friendly - So Why Is It Illegal? https://t.co/aPEX76lDxg via @wakingtimes",2,yes,none,none
"@cursedsalad ✂🚼🍌is🦆! The #AmericanCancerSociety concluded that RIC is NOT needed to prevent medical conditions.  ""In the end, decisions about circumcision are highly personal and often depend MORE ON SOCIAL AND RELIGIOUS FACTORS THAN ON MEDICAL EVIDENCE."" https://t.co/NAFZmi2ul2",2,yes,none,none
"#GoVeganAndBeHealthy  @Gurmeetramrahim  Vegetarian have lower cholesterol levels than meat eaters. Vegetarians have lower blood pressure, no risk of diabetes, they are less likely to form kidney stones . vegetarian diet is often lower in sodium and helps prevent cancer https://t.co/X5XZacLOhn",2,yes,vegeterian diets,yes
"#GoVeganAndBeHealthy Vegetarian diets naturally low in saturated fat,high in fiber and help to prevent cancer! Large studies in England and Germany have shown that vegetarians are about 40 percent less likely to develop cancer compared to meat-eaters!",2,yes,vegeterian diets,yes
"Vegetarian diets—naturally low in saturated fat, high in fiber, and replete with cancer-protective phytochemicals—help to prevent cancer. ...#GoVeganAndBeHealthy https://t.co/w3r3zLH5jH",2,yes,vegeterian diets,yes
"@_brandiii @TrumpTorpedo @DonJBacon @Target @RepDonBacon Sister it goes beyond 240 characters. You are fooling yourself f you think the replace is going to be good for sick people. But keep taking your vitamins and oil to keep cancer away. Honey. I’ve cut off body parts to prevent cancer. I buried my mother as a child. Wanna know what’s sad? People still die of preventable hereditary cancers. Private ins covers testing, which allows for preventive action. Medicare &amp; Medicaid do not. Do you want Medicare for all? https://t.co/75D88FlWCc",2,yes,vitamins and oil,yes
@double_whammied @bccww @abcdiagnosis ...that doesn’t prevent all lung cancer and heart disease but it can greatly reduce risk. It’s important to tell people they can still get lung cancer. It’s complicated.,2,no,,
"@gypsy_wolf38 @FrancesannMaga @POTUS Big Pharma KNOWS what kills cancer. They don't make money off of WELL people. Cancer is in vaccines. Cause it, treat it, make a fortune. The Extreme oil and the Holy oil can treat and prevent cancer. We're all tired of watching this pathetic illusion. LEGALIZE.",2,yes,extreme oil and holy oil,yes
@inspired_youth_ Watermelon is a good addiction to have. Contains nutrients and beneficial plant compounds that may help prevent cancer &amp; heart disease. #stillcancerfree bc I am #veganstrong,2,yes,watermelon,yes
"@IronmanMann Stage 3 thyroid cancer, surgery and radioactive iodine 1 year ago. Cancer becomes a small part of your life-not only because of tests to prevent return but also higher risks of other cancers. But also makes you see what’s important and appreciate life more. 1st in fam w a cancer.",2,no,,
"@jodaka97 OMG If they only knew to put these kids on a cannabis regimens immediately! They could avoid chemo and radiation, prevent future cancer and repair the damaged brain cells. The US Govt even holds a patent based upon neuroprotective action of cannabis:  https://t.co/Tr7SSq67J3",2,yes,cannabis regimen,yes
"@mercydollar9 @Moni_Atise @polletvetsa @mandelakemunto Mark time ang'owa??? During Mothers day by 0600 all the fathers had been reminded they owe mothers a gift just because they have 32 teeth and have been using the same to prevent breast cancer. If you know, you know! Blessed day to you all - hakuna mbrrrrrrcha",2,no,,
"@nickdhurt @KateAndrs @paulmasonnews @NHSEngland Be more explicit: people like @paulmasonnews and @t0nyyates prevent us from saving lives.   If we had Dutch levels of care, 9,500 more lives blighted by the five most common types of cancer would be saved every year. That's more time with your loved ones, more time on earth.",2,no,,
@olytic @sminaev2015 For 20 years I’ve been asked to explain how my background in #evolutionary #biology applies to #medicine- Using the principles of #evolution to treat and prevent #cancer,2,no,,
@OtisBrawley HELP US SAVE LIVES . https://t.co/GhLVu5Kqm3   our students entry to the  @IrishCancerSoc XHALE video competition..Please VIEW on YOUTUBE and SHARE the LINK. Aim is to highlight the dangers of smoking to young people and help prevent cancer.. please Retweet,2,no,,
@qkode That's one way hemp and cannabis prevent cancer. They keep the connective tissue limber and healthy and prevent stiffness and inflammation.,2,no,,
@SamuelMelton5 @realDonaldTrump @aigkenham More reality: Using the principles of evolution to treat and prevent cancer https://t.co/gTlFBWCZuE via @statnews,2,no,,
"@Sir_Fin 4. I will advise anyone that can afford it to please get their young ones vaccinated both boys and girls. Infections and diseases that vaccines would  prevent include Cervical cancer in women,  Genital Warts and Throat cancers- all these diseases are strongly associated with HPV.",2,yes,vaccines,yes
"@spicer Lately, I have started taking classes in Improv Comedy and I have quickly fallen in love with it! I support the prevent cancer foundation and they do a lot of great work with education and treatment!!",2,no,,
"@TuckerGoodrich I hear you, it just seems implausible to me that a 4-year intervention that only had modest effects on dietary intake would reduce invasive breast cancer risk by 68% and diabetes risk by 51%.  Is a little olive oil really able to prevent cancer and diabetes so effectively?",2,yes,olive oil,yes
@Vbalance03 @BlueLionBlog @erikwilson1975 @Rosewind2007 @doritmi @Plasticdoe @Microbedoc2 @StopVaxxedLies @Siubhan_H @BeckyJohnson222 @jpsportsminer @Awithonelison @DansMonkeyShack @cantab_biker @GretchenScience @chrisvcsefalvay @EmmaGPaley @xanthonejohn @ChrisJohnsonMD @TinFoilAwards @kidoctr @Brian_Kitchener @SueQuez @carlsmythe @RoyWilliams1024 @EbolaJuggler @djt10 @PharmaNemesis @sarah_sxlxp @openmitochondro @ShooguhLipz @1002Loola @regina1775 @and_McDowell @anoticingsenpa1 @badzoot7 @DavidOugh1 @biker_bowen83 @what_if_007 @DarkestAngeL31 @janem1276 @mobilematt @LHMI2016org @skepticalraptor @katieicunurse @science_guy5 @Cattlechildren @c0nc0rdance @WomanMDsGuide @RyanMarino Pap smears don't prevent cervical cancer.  They just make you less likely to die from it.  Ways that women get cervical cancer and don't die from it usually involve partial or total hysterectomy.  Why is this preferable to preventing cervical cancer?,2,no,,
@WESHMeredith @Stewartmoore @WESH Saw the segment on colorectal cancer and how quitting smoking can help prevent it. We have free tools and services that can help your viewers quit at https://t.co/nfcWM7KzG4. https://t.co/aLjAi3mnBo,2,no,,
"#alcoholawareness Prevention is the best long term solution to prevent Cancers and chronic diseases-Best to avoid any Alcohol- ""RETWEET"" to spread the word https://t.co/bbH9fu1O8J DYK: Drinking any type of alcohol raises your risk of developing cancer? Less alcohol you drink = more you reduce your risk. RT to spread the word! Find out more: https://t.co/7XUDdAgN3W https://t.co/Q6JACyrBIY",2,yes,reduce alcohol,yes
"#MondayMotivation from the #FDNY Safety Command… #ReduceYourRisk by properly wearing personal protective equipment (PPE). Learn more in our Reduce Your Risk publication, available for free download at https://t.co/TtZIHyHRYB https://t.co/ohHytTduWv Wear &amp; use your PPE (Personal Protective Equipment). It's a dirty &amp; dangerous job, but help to prevent injuries. Reduce the risk of cancer and other occupational illnesses. Wear your boots, pants, coat, gloves, hood, helmet, SCBA. Take care of your brother &amp; sister firefighters. https://t.co/yOZw0Kdj2X",2,no,,
"#Researchers currently studying dormant cells that escape from the primary tumor and cause recurrence of metastasized #cancer. Research is in an effort to learn when these cells migrate, and what drugs can prevent recurrence https://t.co/9tPzTuzDhp @nature @AACR #health https://t.co/l0CWn3zXXc",2,no,,
"#RT @talkRADIO: Why is Britain struggling to prevent heart attacks, strokes and cancer compared to other countries? Watch again ▼  @JuliaHB1 | @BenPBradshaw | @HealthFdn | https://t.co/qmYhe5c1HT https://t.co/Lkk1L4Ior5 Listen to @TimGardnerTHF discuss the NEW  @HealthFdn @TheIFS @TheKingsFund @NuffieldTrust reports for #NHS70 on @talkRADIO this morning.   Reports available here - https://t.co/yJxrgT3VIO https://t.co/aRT0Ahbgd4",2,no,,
#Sunscreen for dark skinned peeps is virtually useless to prevent #skincancer. Absolute risk is tiny and deadly #melanomas often occur on non sun exposed areas https://t.co/hmE8nVFfho There are a lot of misconceptions about sunscreen and whether or not dark-skinned people need to wear it to prevent skin cancer. This NPR piece does a POOR job presenting the actual evidence. I think a TWEETORIAL is in order. https://t.co/CTMdNNPdgd,2,yes,sunscreen,no
"#ThankYouNHS for being there when I gave birth, giving me the opportunity to prevent myself getting cancer in the future and being there for my mum in her final days. An organisation I am incredibly proud to work for #NHS70",2,no,,
"#Vegetarian diets naturally low in saturated fat,high in fiber and help to prevent cancer! Large studies in England and Germany have shown that vegetarians are about 40 percent less likely to develop cancer compared to meat-eaters! #GoVeganAndBeHealthy @FARMUSA https://t.co/u2InFBFrJA",2,yes,vegetarian diets,yes
