Tweet Text,# number,Medical relevance,X,Does X cause cancer 
@Lord_Sugar @GMB @piersmorgan If there’s a god why do bad things happen... free will. We cause bad things. If we were all living to gods will then most of these man made atrocities wouldn’t happen. We pump poison into the air and wonder why we get cancer. We kill one another and wonder why god allowed this.,2,,,
"In July, my friend and I will be running the Race For Life to help beat cancer sooner ❤️ If anyone would like to sponsor us for this great cause we would be so grateful 💛 The link below will take you to our fundraising page. - Katie 🌟 #RaceForLife   https://t.co/U4zi63fwL2 https://t.co/DlaxqgIpPw",2,,,
Overexpression of miR3615p in triplenegative breast #cancer TNBC inhibits migration and invasion by targeting RQCD1 and inhibiting the EGFR PI3KAkt pathway.: Triplenegative breast #cancer TNBC is the leading cause of #cancerrelated death in women.… https://t.co/aZ3DmIhSaR,2,,,
.@StJude is the best cause in the world! It has truly been one of the most important and meaningful missions of my life. https://t.co/9I4Qf4uNOF,2,,,
@Sourrpatchhh i communicate with the dominican men that i grew up with often and that’s always entertaining and a known cause of brain cancer.. so yeah lol,2,,,
"There actually are various cures for cancer but the pharmaceutical industry is greedy af and tries to hide those in order to sell their cytostatic drugs that only work 10% of the time &amp; the other 90% of the time actually are the cause of death, they do more damage than they help. https://t.co/BiL9j7r4Qz",2,,,
Study Finds Blood From Vegans Is More Protective Against Cancer https://t.co/aE5sIMJlsc Meat and Dairy Cause Cancer? #Vegan #Februdairy #PlantBased #RawFood #WFPB #Diet  #CleanMeat #MeatFree #NonDairy #Dairy #EatClean #BeKind #GoVegan #Diabetes #BreastCancer #ColonCancer #Cancer https://t.co/lXIr96iRW3,2,,,
"@SuccuCirno  Yes a dumbass Ice fairy with big tits that wants to be lewd. This only sounds like her being a dumb slut who doesn't know what a dick is but wants it anyways.  pure cancer, no pure frostbite cause my eyes froze and fell off when I saw this shit.",2,,,
"Great chance to get a great kit form @Ardor_Kits whilst also supporting a great cause in @ScoreCancer ! Have a first look of it in action when @ItsDavidFish streams on Monday then grab it for yourself on Tuesday (I know I will be)!! Oh and don’t forget to donate guys!!! https://t.co/My1EYUF0nt Designed by @Ardor_Kits - The Score Against Cancer kits will be debuted by @ItsDavidFish during his stream!  Then the next morning they'll be available for everyone to get hands on with, with a chance to donate any amount! https://t.co/MrLsdSFyR8",2,,,
"Overwhelming evidence shows that particle pollution in the outdoor air we breathe—like that coming from vehicle exhaust, coal-fired power plants and other industrial sources—can cause lung cancer.Thank you ⁦⁦@Tesla⁩ for leading the EV revolution https://t.co/uNOiqryDSw",2,,,
"@dmdnndjjdj1 @SimmonsBart That’s a correlation, and a weak one at that. Especially in the face of all the other data we just showed   Meat doesn’t cause cancer.  https://t.co/2n5i83bUKW  The bread and vegetable oils with the meat?  Maybe.",2,,,
@PamBelluck Herpes and Alzheimer's .. Makes sense given that hepatitis viruses can cause liver cancer .. Perhaps by similar mechanism .. Promoting production of 'cellular junk' aka plaques...,2,,,
I can’t exactly fault him for this considering when my ex told me he cheated on me HE started crying and cause he was crying I fucking panicked and hugged him. it’s in shane and I’s cancer alignments we can’t help being soft dumbasses sometimes,2,,,
"Too much sun exposure without protection can cause sunburn, skin damage (like wrinkles), eye damage, and skin cancer. Protect your family and apply #sunscreen with an SPF of 15 or higher before going outside. #SummerSafety #Parenting https://t.co/FNHxJJrpfs",2,,,
"[LEARN TODAY] Did you know that mercury-based, silver fillings cause many chronic health problems like cancer and dementia? https://t.co/9uReKkMceG",2,,,
"#OnThisDay in 1957: @BBC ""#Smoking 'causes #lungcancer' - The link between smoking and lung #cancer is one of 'direct cause and effect', a special report by the Medical Research Council...#TobaccoFirms have rejected the findings..."" https://t.co/dm5go9OOwK #Cigarettes #Tobacco",2,,,
Sooooooo I might have cancer... my dad passed away this is the month. He died on the 20th. My birthday is the 26th. ohh and a homeless man attacked me today cause he got chaught shop lifting. My friends are busy and I have to be okay alone... but I can’t really do this on my own.,2,,,
"Chemotherapy not only kills fast-growing cancer cells, but also kills or slows the growth of healthy cells that grow and divide quickly. Damage to healthy cells may cause side effects, such as mouth sores, nausea, and hair loss. https://t.co/IGJrROj5kN https://t.co/vfJTBb5uvP",2,,,
"Hey @FERGDARCY and all in @TodayFM, was wondering if you'd give all the great people who are helping out organising Carz n' Coffee in Tullamore to help a local girl diagnosed with cancer a shout out. Everyone is welcome and it's for a great cause 😊 https://t.co/Lu23aOROtF https://t.co/PLMPUp6zke",2,,,
"Air pollution is a major cause of life-threatening diseases such as stroke, heart disease, lung cancer and chronic and acute respiratory syndromes such as #asthma #airpollution #breathelife #pollution #Delhi #Noida #Gurgaon #Gurugram #smoke #climate #climatechange #Airoshine https://t.co/henZJ2o7kn",2,,,
"Colleague 1: I eat a lot of bacon Colleague 2: Doesn't bacon cause cancer? Me: Come over here boys (heads to whiteboard). . . Me: So that's the difference between absolute and relative risk Colleague 2: Those lying bastards! That's bs!!!  https://t.co/qKFDqIXNWS My experience is a little different: ... Me: So that's the difference between absolute and relative risk. Colleague 2: (Nods head up and down, but looks completely lost. Regrets mentioning bacon in my presence.) https://t.co/fzKwn5LL34",2,,,
@exoismyhome You know they worked they're entire life to earn what they have now. It's kpop's fans who is sending death threats to grayson and mocking with his father's cancer. You should be ashamed cause no one died. Just someone fainted and he's ok. So if you want drama go watch the news,2,,,
Dry July is a fundraising initiative which supports people suffering with cancer and has inspired many people to abstain from alcohol for a month for a worthy cause and good health.... https://t.co/kbpFSTgeCl,2,,,
my 10 y/o brother is literally out there saying “mexican immigrants cause cancer” and i called him out but he hit me in the head and said “bla bla bla” marty... https://t.co/dGfLv1U1v2,2,,,
"@nytimes “According to a recent study by Johns Hopkins, more than 250,000 people in the United States die every year because of medical mistakes, making it the third leading cause of death after heart disease and cancer.” Feb 22, 2018",2,,,
"The Daily Mail is furious today. Furious that my wife is to be ""allowed"" to stay in this country.    The Daily Mail is furious that the wives, husbands and partners of millions of other British people might be ""allowed"" to stay.  THREAD/ https://t.co/VB8YIwRzrV Immigrants ✅ “Does x cause cancer?” ✅ Commenting on someone’s weight ✅  If only they'd declared some British institution “traitors” they'd have hit peak Daily Mail! https://t.co/Bk8hMumBfV",2,,,
"Nothing is more satisfying than watching your family reading your zodiac sign traits, I’m a cancer, and just watching them slowly fear you cause every single trait is true （＾ν＾）",2,,,
@lpzncle Cries at the drop of a hat lol. Your cancer placements probably make it difficult for you to separate your intellectual world and your emotional world which can cause you to feel things often and deeply rather than thinking them through. An intuitive queen👑✨,2,,,
"Everyone wants to improve #healthcare and #hospitals ... Yet medical error is now the third leading cause of death after heart disease and cancer, say Johns Hopkins researchers ... https://t.co/V8PeY9lI8C",2,,,
@GamingKav @PlayStation @EpicGames @FortniteGame Now. See. Idk the feeling of being screwed over in fortnite cause A:I dont play the game like every ninja wannabe and thier entire family tree.   B:it was just fine when it was just a pve game but then it got to all sorts of cancer when the BR came out.   (1/2),2,,,
"We are very pleased to announce that we will be playing at Hog Days of Summer in Montgomery, AL on Aug 18. This event is benefitting Hogs for the Cause and their quest to support families struggling with the effects of pediatric brain cancer.  More info at https://t.co/w4mnsVqthd https://t.co/w2U7ANssOV",2,,,
one time when I was a kid my family took me to see Flubber and during the movie all I said was “there he is!” and somebody shushed me and my mom had to take me out of the theater because I was crying cause my feelings were hurt and if that’s not the most cancer thing,2,,,
Lots of smiles and great racing @DCrowforthecure all for a great cause as we row together to find a cure for breast cancer. Grateful to all the teams who supported the event generating donations to @KomenDC. #RFTC25 https://t.co/WKrQXhj5Qm,2,,,
"@RobertJimison There have been victories, but the war isn't over. #Braintumors are the most common #cancer and cause of cancer-related death in children under 15, yet pediatric cancer only gets 4% of the @NIH budget. Most advancements have come from research funded by private foundations.",2,,,
"@poppapete299 @hilsoneil @MikeDoyleComedy @KateRobbins @theBobbyCrush @JOELONGTHORNE55 @theBobbyCrush hi guys. Please give this song written by a good friend of mine, a listen and retweet the hell out of it for a great cause  #cancer #charity  https://t.co/u9dDefQA6o",2,,,
Start fucking with nature - and you never know what destruction you'll cause  Those think-theyre-smarter-than-nature genome dipshits https://t.co/hTtYrfptuQ,2,,,
"New mum?   Make sure you #baby talc is ""talc-free"" (known to cause cancer - I'll do a post on this after our Baby Awards next week).  A good alternative: @NYR_Official's NEW Organic Baby Powder https://t.co/Lj0QvDaHZ3  #organicbaby #mummyblogger #pbloggers #healthbloggers https://t.co/R6fXrz1QXB",2,,,
@pleg4life @adarshshastri @ArvindKejriwal @SatyendarJain @msisodia @AamAadmiParty @AAPDelhi Tobacco is one of leading cause of cancer and millions of people are dying every day because of tobacco related diseases. It is time for us to take pledge to fight against tobacco.,2,,,
"Such a fun mix of poor grammar, punctuation, and misinformation all bundled into one retarded tweet. #flatearth #davewantsthetruth #notfollowers https://t.co/0bGo9oJIGm @DrMathsPhysics @dimamynedd @jameswzegan85 @badibulgator @Valuable2017 @Brian_Kitchener @BamaNog @rmbctious @EmptyGreenPants @twatterfull @bikinatroll @CobraElDiablo @GerbusJames @Geek_0nline @Col_Sandurz @herbivore_club @J5_Project @mosigsoodle @Bewyds @JBadass408 @V0NGRIME @Tinman_73 @VolumeRose @whatithink1234 @Watsdecraicjmac @TakeThatGravity @HoloBuzz @SimonGr41594862 @whoopsbuni @DScifi @keigh_see @everycloud9 @PoliticoCryzis @Becauseofnow @sciencegecko @AquaVelvaBoy @Nutt007 @BackSapper3 @PaperForSale @GlennBunyan @bigfatgit @ISON_Tracker @UnCastellsMes @Cruel_Coppinger @Angry__Logic @wordbird67 @MechaPanda9K @ivegotamuon Listen idiot.  Vaccines cause autism, adhd, cancer, DEMENTIA, PARKINSONS, A.L.S, multiple sclerosis and birth defects. Nobody has ever been in space.  FACT.  This does not mean earth is flat at all.  Science is very bad indeed.",2,,,
#Asbestos_Exposure is the leading #cause of #mesothelioma_cancer. Inhaled or ingested #asbestos_fibers can cause inflammation of the #internal_tissue and alter. These were used throughout the #United_States.  https://t.co/3pCAaTPZiE,2,,,
Went through someone’s old twitter feed for something and saw them #fatshaming - yknow the old obesity is the leading cause of cancer thing - even though they’re about 10 and drink and takes drugs they’re judging obesity.... hmmmmm.....,2,,,
"Great to join Bluey, Ken, Geoff and Jo at the Somerville JFC Pink Day Fundraiser for Breast Cancer. It was fantastic to see both Somerville and Rosebud football clubs getting behind such a great cause and to have a chat to 3RPP community radio. https://t.co/75i3XoBBEM",2,,,
"Just doesn't cause cancer, isn't nearly as destructive to the environment as animal agriculture, and isn't torturing animals.... Also, people don't walk around eating burgers to be healthy, not the angle they're going for. Good try tho #epicfail https://t.co/rDe1Ct51kA",2,,,
"Cancer, chemotherapy, female pattern balding, and alopecia can all cause women to temporarily or permanently lose some or all of their hair. Here are some of the ways to style your new appearance with confidence. https://t.co/idxEcxHzZb #ArtemisHair #HairStylingTips https://t.co/MfqfVZzrcN",2,,,
BPA may have biologic effects similar to estrogen and might therefore promote breast cancer or cause problems in either the developing fetus or growing infants.,2,,,
On August 4th &amp; 5th @lindsayknight and I will cycle 200 miles to raise money for live-saving cancer research. Please consider donating to the cause and supporting our @Pelotonia efforts https://t.co/4J37nzB6Ht https://t.co/zk3FibuQSo,2,,,
"ONE week from today! Sat. June 30th, Swanton, OH: 1st Annual Craft and Vendor Show For a Cause supporting The Salgi Esophageal Cancer Research Foundation https://t.co/EvmeKmg9M2 #EsophagealCancer #EsophagealCancerAwareness #AllPeriwinkleEverything™ #Ohio #OH",2,,,
"@TomFitton @RodStryker @ShannonBream @FoxNews @JudicialWatch @realDonaldTrump Maxine Waters should be ""IMPEACHED!"" stripped of any, and all power, authority and charged with a felony for attempting to cause physical harm on the POTUS. Due to her complete defiant, racist, bias, RADICAL behavior and INCOMPETENCE! She is a CANCER that needs to be removed!",2,,,
"Today we've gone PINK in support of the thousands of people affected by breast cancer. We are truly thankful to everyone who has worn PINK &amp; so generously donated to this cause so far - together we've raised almost $1,800 for @NBCFAus! AMAZING!! 💗💗 #GOPINK #theBGLway #thankyou https://t.co/nzSndn3Uhp",2,,,
"Thanks to our @EcoBunkerLtd team members yesterday, Neil, Ian and Jeff for carrying me in the Breast Cancer Wales charity event.Proud to support such an important cause with special thanks to Dave and Jill Little &amp; @WenvoeCastle_GC https://t.co/NeLmVNhO7q",2,,,
Variants in genes encoding small GTPases and association with epithelial ovarian cancer susceptibility.: Epithelial ovarian cancer EOC is the fifth leading cause of cancer mortality in American women. Normal ovarian physiology is intricately connected to… https://t.co/5e0Z7Hqc3K,2,,,
"@OHindusWakeUp Nuclear energy may be exposed to high levels of radiation, which can cause cancer and other ailments.  #WorldWar3Movie https://t.co/Kk5RkRVlmK",2,,,
"@washingtonpost after @realDonaldTrump , an OLD sense of: MURDER FASCISM  @nra are a cancer to america, it is a terrorists organization, the anxiety is real, the numerous bodies piling high are a direct cause of #nra propaganda https://t.co/lWzOy46m0k Meet Dana Loesch — the NRA spokeswoman who thinks journalists are ‘the rat bastards of the Earth’ and should be ‘curb-stomped’ https://t.co/H0X51ePcKE",2,,,
"NB:  British Telecom is not just warning about cellphones and Cancer, but ALL ""radio frequency emissions and health risks."" BT knows that AM,FM Radio (etc) can also damage health (not just phones cause Cancers). Which is closer to Truth than the Headline: https://t.co/S29h1JPcL6 .@702Aubrey/@AkiAnastasiou/@KatyKatopodis/@EWNreporter/@Radio702, I have been saying it since #ZA #Cellphone #Introduction in 1994, not to hold your #Mobile #Phone against your #Ear/#Head! Did anyone ever listen? - Least the #Media &amp; @GovernmentZA!  CC: @HealthZA, @EnvironmentZA https://t.co/9zyNrRNSvV",2,,,
"@MumbaiPolice Crocin is a drug. So is anything you get off a medical store. We are governed by what the policy ARBITRARILY chooses to define as a drug. Cigarettes, known to cause cancer and kill are perfectly legal. Weed, known to have numerous health benefits is illegal.",2,,,
"“It is inherently misleading for a warning to state that a chemical is known to cause cancer based on the finding of only one organization (IARC), when apparently all other regulatory and governmental bodies have found the opposite, including EPA.” https://t.co/jdsEHkvSbl",2,,,
@andrewjgregor Caution. Pliers and blowtorches contain chemicals known to the State of California to cause cancer and birth defects or other reproductive harm.,2,,,
Ahh she’s a Cancer and we don’t get along?   That’s crazy cause my best friend of over 15 years is a cancer and we are like two peas in a POD!!!! 🤔,2,,,
"#Breaking  as per survey 69% of Fruits ,Vegetables sold in #Indian cities  like #Mumbai #Hyderabad  #Bangalore #Delhi by Road side vendors are adulterated ,and can cause #Cancer,watch this video https://t.co/p03Jej9L5F",2,,,
"@fleroy1974 @herbivore_club Frederic Leroy who compares himself to actual carnivores like lions who need to eat meat to survive, while promoting processed meats that clog up arteries in humans and cause cancer  *facepalm*  #LionFacePalms https://t.co/X3605INzRt",2,,,
You got this man! What an excellent cause go see my friend kill this 24 hour stream and if you can throw some cheer his way! This is quite the undertaking! 😁 https://t.co/Pyu8gClQ2v,2,,,
"#HPV is the leading cause of #cervicalcancer, which affects more than 12,000 women in the U.S. a year and is the third most common #cancer among women worldwide. Talk to us about the 3 important things you need to know about HPV: https://t.co/aQU1wxRUmZ https://t.co/kkNvTgtILd",2,,,
"Chemicals in non-stick pans get into drinking water and may cause cancer, report warns",2,,,
cancer - a caring person who’ll understand why shit makes them so mad &amp; help them with there insecurities instead of being a ass. someone they can love unconditionally cause they’re big ass balls of sunshine. just know they don’t go for no hoe shit so don’t get ahead of yourself https://t.co/Zc82xuKzqd,2,,,
Trying to get rid of ethnic federalism because you feel like it’s the cause of conflicts is no different from trying to get rid of those ethnic groups themselves and bringing back the imperialist’s rule—put a Federalism glass on and find the actual problem 😡 https://t.co/nMl9pAPhzG,2,,,
"Everyone please share within your family WhatsApp groups that sharing ""Forwarded as received"" and ""Scientists have found"" and ""WHAT THE MEDIA WON'T TELL YOU"" posts on Whatsapp has been recently found by scientists to be the leading cause of cancer",2,,,
RT @spookybadwitch: tomorrow we’re having a seafood boil and I’m literally screaming cause it’s cancer season officially 🦀🦀🦀🦀🦀🦀🦀🦐🦐🦀🦀🦀🦀🦀,2,,,
"How is weed still illegal yet it helps with Cancer,eating disorders,and insomnia yet cigarettes have 27 chemicals dat cause death but they still legal? 🤧 makes no sense",2,,,
"uclear energy may be exposed to high levels of radiation, which can cause cancer and other ailments.#WorldWar3Movie",2,,,
A number of drugs used to treat blood pressure and heart conditions are being recalled as a precautionary measure after an impurity believed to cause cancer was found in them. https://t.co/TdoCN4EF7t,2,,,
Lovely feedback from a WOMAC winner! 'I would just like to say a big thank you. I'm the lucky winner of the Fast &amp; Furious 6 signed dashboard. The money I donated is going to a good cause – #WOMAC &amp;@KidneycancerSN should be very proud of themselves. Many thanks.' Keith Olive https://t.co/opeOEsnc22,2,,,
New Zealand scientists have identified a toxic bug they believe may cause bowel cancer and could lead to a life-saving vaccine or early detection test for the too-often deadly disease. Check out our news release: https://t.co/GhU24PnBL8,2,,,
Strategic Practice Solutions was honored to sponsor Spa Mariana's event that benefited Kids Kicking Cancer. Such a good cause and a fun evening! Spa Mariana is a fantastic day... https://t.co/JhvkHFBxCD,2,,,
"@Shagstien @thescottmjones @dw_scitech There are fewer than 100 employees where I work and 3 have died in the last couple of years. When they're all over 40, and die from cancer, etc. it's not a cause for alarm. Heavy metals can cause cancer, etc. and 21 since 2000 is a similar rate.",2,,,
Scientists have created pigs that are immune to one of the world's costliest livestock diseases. The team edited the animals' DNA to make them resist the deadly respiratory disease known as PRRS - a move that could prevent billions of pounds in losses each year... I use caution about eating genetically engineered  product which could have unknown side effects in humans. I have read  reports which claim   these product could cause desaese like cancer and break down your immune system over time . https://t.co/PRxlRcq1Ac,2,,,
To them pregnant bitches who smoke cigarettes at my job and across the world i hope you deliver a healthy baby but you end up having cancer after they are born cause y’all are some sick individuals,2,,,
"local newspaper's honest to god front page:  1st story: ""DoD has no plan regarding toxic chemicals military bases have been leaking into local counties for decades, making the drinking water cause cancer""  just below: ""Let's hear it for the red white and blue""  fucking classic https://t.co/Es2GFFoDkD",2,,,
"This is what @NHSForthValley us promoting for disabled children and primary school kids @ScotGovFM - do you think this is acceptable? @EilidhWhiteford @DeidreBrock @scotgov @scotgovhealth https://t.co/hVsWsjeQch Exploring gender is great. But puberty blockers that cause bone &amp; brain impairment? Followed by exogenous hormones that not only sterilize kids but put them at risk for cancer, heart disease, &amp; liver damage? You are awfully cavalier about the lives of other people's kids. https://t.co/1RU3p46sm2",2,,,
"@billyjack2016 @mhdksafa Plastic never degrades. It can only break down into individual molecules, and these individual molecules are impossible to remove from drinking water or any water with current technology. The 'Microplastics' as they are called, are killing ecosystems and may be a cause of cancer.",2,,,
@itzkristenb @howlinghaleig @satanariies_ @GraysonDolan but saying his heart should’ve never restarted and making fun of his dads cancer is alright? cause that’s what y’all are doin but doesn’t matter because he made fun of your precious idols so you guys have to drag him down by hitting sensitive subjects. ok.,2,,,
"Attention, ladies! Did you get yourself a vaccination to prevent HPV, a viral infection of the reproductive tract and is an important cause of cervical cancer?  @WomensHealthMag @ccam_cervical @unCancerIndia https://t.co/dTHrhkLfvi",2,,,
"for any baby witches who are going to light incense sticks for tonights full moon, please be careful! incense can cause inflammation in your lungs if you breathe in incense for more than 3 hours and can increase the risk of cancer!  more info ~ https://t.co/yADwzMCRh7 ~",2,,,
@KittyBhagat @mariecountryman The ONLY known cause of this rare cancer is RADIATION. My Dad worked on the computers stored in the caves where they stored Uranium. Los Alamos was still a closed city--and it glowed in the dark! 🤕😡,2,,,
"Cause I'm crazy and I'm sexy then I'm cool, Little rough around the edges, but I keep it smooth I'm always left of center and that's right where I belong👑 And I like that! I don't really give a fuck if I was just the only one https://t.co/qPRsTVHUdh",2,,,
"RT @stephanbruh: man, just found out my grandmother lost her battle with cancer. tough cause she was getting better and suddenly she’s gone…",2,,,
@AsiaAtItAgain Cancer because as a libra they suck the life outta you they so dry and boring and also emotional asl they cannot stand the jokes of a libra like me.. no sense of humor non what so ever....Gemini’s cause they literally think they kno it all and haters at heart like fr,2,,,
"There are only 4 more weeks to go until we wrap up our fundraising season for @AlexsLemonade! If you haven’t donated yet, please consider supporting the cause as we squeeze together to fight pediatric cancer one cup – and one dollar – at a time. https://t.co/ZlNYmTncQu https://t.co/hfoxTGXeKP",2,,,
@TomCatTheGoat @greengoblin Lmao this dudes twitter is cancer. It’s just him begging random fucking celebrity’s to meet him cause he has brain cancer and gets mad when they don’t reply,2,,,
The lifestyle factors that cause cancer – and why many people are still confused by the risks https://t.co/uvI63BEL6J https://t.co/BrifMoDsrV,2,,,
@NCIprevention The association between human papillomavirus infection and lung cancer: a system review and meta-analysis. https://t.co/PK78lLKT97 6.71 (95% CI: 4.07-11.07) by case-control. 28% of LC is in never-smokers so smoking could not cause 90% https://t.co/8d658cZJNx,2,,,
"Nuclear energy may be exposed to high levels of radiation, which can cause cancer and other ailments. #WorldWar3Movie https://t.co/wRtKFarLGx",2,,,
"@HarounRashid2 @odysseuslahori @AzamJamil53 @AliChundrigar I can understand stroke since the length of black d**k can reach brain and cause aneurysm, but cancer? smh",2,,,
"D-Deficient pandemic we are seeing, even in sunny countries. Low #vitaminD levels correlate with risks of #cancer, #diabetes and all cause mortalities.   Amazing that the production of D is another area that relies on sufficient #cholestrol in the body.   https://t.co/H6HsJHw54m",2,,,
"☆*:.｡. Yu Ming Jun 余明君 .｡.:*☆  ☆ 22nd June 1998 (Cancer) ☆ Always teased by the others ☆ Nicknames: 小黑 (because of his tanned skin) ☆ Really good at dancing, and Korean ☆ Became an idol cause he auditioned for it and had a passion for dance  ☆ Weibo：余明君_MJ https://t.co/Hi7w6FCAeT",2,,,
"Four key &amp; known factors that cause #cancer. New data on cancer cases in #France attributable to lifestyle and environmental factors: the four major risk factors are #tobacco use, #alcohol consumption, an unbalanced #diet, and #overweight via @IARCWHO Thank you #IARC. #MEUShealth",2,,,
RT @pennvet: Penn Vet and Penn Med researchers find Epstein Barr-like virus infects and may cause cancer in dogs: http://t.co/qkUnrbbO,2,,,
The Milwaukee crew shaving for childhood cancer great cause love this team and company!  Special thanks to our T-Mobile partners and #StBaldricks #WVistheplacetobe  #BeYou https://t.co/OGjPlYuDnC,2,,,
"This isnt for attention, I need this heard. Johnathon Ware is a manipulative person he mentally abused/abuses me I stayed because if I didnt he made me feel so sick about myself. He cheated w a girl w cancer and told my friends he only talked to her cause of the cancer",2,,,
i have a theory : cancer are the best liars cause yall think we’re cute and too caring to actually be bad people but guess what : we’re manipulative bad bitches too https://t.co/ir8QR9WArA,2,,,
"@Jordan_Sather_ You do realize that if true, and I don’t doubt it, all it would take is several whistle blowers to cause 100,000+ lawsuits against the federal government.   Cancer?",2,,,
"Albinism is the absence of pigment in the eyes, skin and hair. Exposure to the sun can be harmful and could cause skin cancer and burns. Many times, albinos suffer from discrimination, and this day aims to educate and sensitize society about this congenital disease. https://t.co/qAz0x4G7IF",2,,,
It is requested to all of the followers that please these kind of things are injurious to health.. and it may cause you cancer.. Stay safe ! Thank you ❤ https://t.co/RfM4F8TJ4e,2,,,
@cute_wierdo You know they worked they're entire life to earn what they have now. It's kpop's fans who is sending death threats to grayson and mocking with his father's cancer. You should be ashamed cause no one died. Just someone fainted and he's ok. So if you want drama go watch the news,2,,,
"Hey @FERGDARCY and all in @TodayFM, was wondering if you'd give all the great people who are helping out organising Carz n' Coffee in Tullamore to help a local girl diagnosed with cancer a shout out. Everyone is welcome and it's for a great cause 😊 https://t.co/Lu23aOROtF https://t.co/PLMPUp6zke @kclr96fm @beat102103 know it's a bit up the motorway to Tullamore but any chance ye could give this a shout out? All to help out a little girl's journey against cancer. 💗 https://t.co/sespH37NJh",2,,,
"A professor of toxicology explains how EMFs (Electromagnetic radiation from cell phones, laptops, microwave ovens, cell towers, wifi routers, etc) cause biological damage and even #cancer: https://t.co/yWvX1JRFeR https://t.co/UDPttzix3n",2,,,
"If you know someone w/ metastatic cancer, ask what you can do: show up, hug, listen, prep/bring food, rides, advocate for work accommodations, call insurers.  And spread the word: &lt;10% research and funding goes to mets which are cause &gt;90% of cancer deaths.  That’s some bad math. https://t.co/NOSTgrmtGA Living with #metastaticBC can be a lonely place for men &amp;  women facing ongoing side effects of drugs, sexualization of breast cancer, loss of career, financial toxicities, loss of friends to running out of options. We aren’t afraid to tell people we are #DyingToSurvive https://t.co/jrrBEh47UG",2,,,
"When you VAPE, you also inhale formaldehyde.   How it affects the body: Inhaling formaldehyde can make you feel sick, causing symptoms like a sore throat, cough, scratchy eyes, and nosebleeds. It’s also known to cause cancer, particularly of the nose... https://t.co/q08olMn5F9",2,,,
"@PunchBrown @vegannutrition1 @craftyvegangirl @86prick @Evo_Farming Yep you are right, all prooganda.... Animals don't feel pain, plants cause heart disease, and us vegans are all paid off by the national broccoli council. Still waiting for my paycheck. And never mind the 22 scientists and 800 studies that show that bacon causes cancer.",2,,,
"@GodofReason1 @EndDeportations @FishMaga @lorrimclark @realDonaldTrump And people know smoking gives cancer, yet still do it. Maybe we should stop offering treatment to those patients. Cause ya know they knew the consequences.",2,,,
"About 1% of America's public water supply is contaminated with perfluoroalkyls- chemicals that cause cancer, liver damage &amp; harm to unborn babies. And the Trump administration tried to hide this info from us. https://t.co/VSjLqGnMj5",2,,,
"I know it’s cancer season and some of y’all have the urge to lurk, but like be mindful of the retrogrades cause your asses will get caught lol",2,,,
"“My patient advocacy efforts, such as raising awareness for the human papillomavirus (HPV) and various cancers it can cause (including mine…), are not made more or less successful based on my disease outcome.” https://t.co/e85IT8lXva",2,,,
"I'm doing #DryJuly  Funds raised support #cancer patients, families and carers #wellness #transport #comfort #information  Please support the cause https://t.co/p6YXkURvXm",2,,,
@MargaretAtwood @gabimichetti @cdnwomenfdn @equalitynow Margaret you find business in killing unborn children. We are not buying your lies! if you cared about women you should be fighting for breast cancer awareness and better treatment in Argentina since is the number one cause of death in Argentinean women.,2,,,
"#HPV is the leading cause of #cervicalcancer, which affects more than 12,000 women in the U.S. a year and is the third most common #cancer among women worldwide. Talk to us about the 3 important things you need to know about HPV: https://t.co/aQU1wxRUmZ https://t.co/YYo9yT4DTO",2,,,
also i think i was born right when the ascendant is changing cause one chart says cancer and other says leo https://t.co/cmMfb5gilh,2,,,
Lmao y’all are more than short sighted. Capitalism is literally why yt’s thought it made sense to enslave us and work us for free. Capitalism violates human rights everyday at every second. Shit we about to lose the damn planet cause of capitalism. https://t.co/YLoY1rOhIr,2,,,
Deccan Chronicle: 4 foods that can cause cancer revealed.,2,,,
"There are more than 4,000 chemicals in tobacco smoke, where as 250 are known to be harmful and more than 50 can cause cancer.  #EndTobacco https://t.co/kc1YAAUnj4",2,,,
"Support a great cause and come in to our office at 21 Ballantyne Court, Glenview to buy your 'Beanie for Brain Cancer'. https://t.co/nPVPThB8Fy",2,,,
"In our next charity auction, you can WIN #DHONI's #7 JERSEY from the iconic Captain Cool @SnickersIndia ad, and an AUTOGRAPHED warrior costume!  Proceeds to benefit cancer patients🙏  Huge thanks to @KerosceneFilms.  #MSDhoni #charityauction #cricket #beatcancer https://t.co/idifEJTy6T Happy to partner in this noble cause 🙏🏻 All the Best @SaltScout  #SnickersIndia #MSDhoni #BeatCancer #CharityAuction #Cricket #RKSwamyBBDO  @KerosceneFilms #SaltScout @msdhoni @rkswamybbdo #TataMemorialHospital https://t.co/bgSsuTS4Il",2,,,
Ok but my Aquarius stellium is SHAKING cause this is sooooo true and lmao my Taurus rising is QUAKING cause literally https://t.co/MFdeTmKyB7 What the signs go for Scorpios- the innocent  Sagittarius- long distance relationships  Libra- players Taurus- trash  Leo- the popular Aquarius- the mysterious  Gemini- the assholes Aries- submissive Capricorn- the boss Cancer- bullies Virgo- the rich Pisces- hippies,2,,,
